Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 0.0.
Transport.uni_n_ent.58 	 moves for 2936.4281904883683 	 Car.c.84 	 at time 0.0.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 resumes 	 Source.north_source.12 	 at time 0.0.
Source.north_source.12 	 generates 	 Car.c.85 	 at time 0.0.
Source.north_source.12 	 resumes 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 0.0.
Transport.nr_road.11 	 moves for 2964.7024424746633 	 Car.c.80 	 at time 0.0.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 0.0.
Transport.s_road_3.36 	 moves for 2959.9177633412182 	 Car.c.85 	 at time 0.0.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 resumes 	 Car.c.81 	 at time 0.0.
Sink.south_sink.13 	 terminates 	 Car.c.81 	 at time 0.0.
Car.c.81 	 resumes 	 TrafficModel.Traffic.1 	 at time 0.0.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 77.89257271950574.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 77.89257271950574.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 107.08640239401055.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 107.08640239401055.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 141.17630678450777.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 141.17630678450777.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 155.78514543901147.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 155.78514543901147.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 183.52676190552302.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 183.52676190552302.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 194.33506960670152.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 194.33506960670152.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 214.1728047880211.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 214.1728047880211.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 233.67771815851722.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 233.67771815851722.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 282.35261356901555.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 282.35261356901555.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 311.57029087802294.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 311.57029087802294.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 321.2592071820317.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 321.2592071820317.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 367.05352381104603.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 367.05352381104603.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 388.67013921340305.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 388.67013921340305.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 389.46286359752867.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 389.46286359752867.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 423.5289203535233.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 423.5289203535233.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 428.3456095760422.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 428.3456095760422.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 467.3554363170344.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 467.3554363170344.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 535.4320119700527.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 535.4320119700527.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 545.2480090365401.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 545.2480090365401.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 550.580285716569.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 550.580285716569.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 564.7052271380311.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 564.7052271380311.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 583.0052088201046.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 583.0052088201046.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 623.1405817560459.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 623.1405817560459.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 642.5184143640632.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 642.5184143640632.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 701.0331544755517.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 701.0331544755517.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 705.8815339225389.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 705.8815339225389.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 734.1070476220921.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 734.1070476220921.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 749.6048167580738.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 749.6048167580738.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 777.3402784268061.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 777.3402784268061.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 778.9257271950574.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 778.9257271950574.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 847.0578407070467.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 847.0578407070467.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 856.6912191520843.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 856.6912191520843.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 856.8182999145632.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 856.8182999145632.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 917.6338095276151.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 917.6338095276151.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 934.710872634069.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 934.710872634069.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 963.7776215460948.
